StandardBody,CertificationBody,Independency,Accreditation,Jurisdiction,CertificationCriteria
FLO,Flo-Cert,3rd Party,ISO,"Europe, Asia and Africa",available
FLO,Fairtrade USA,3rd Party,ISO,USA,available
FLO,Commercio Justo,3rd Party,ISO,Mexico,available
RAN / SAN,RAN (Rainforest Alliance),Internal,n/a,Worldwide,available
UTZ Good Inside,Control Union,3rd Party,ISO,Worldwide,available
UTZ Good Inside,SCS Global Service,3rd Party,ISO,Worldwide,available
Fair for Life,Bio Schaftung,3rd Party,ISO,Worldwide,available
Starbuck & Conservation International,SCS Global Service,3rd Party,n/a,Worldwide,available
Starbuck & Conservation International,Control Union,3rd Party,n/a,Worldwide,available
"Dave and Nic ",DaniCert,n/a,n/a,Worldwide,available
Non Violent Dove Certification,DoveCert,n/a,n/a,Worldwide,n/a
