CertificationBody,Year,CertificationBody URI,Certification Criteria Availability,Certification Independency,Accreditation Body,StandardSetters
Flo-Cert,2004.0,http://www.flo-cert.net/flo-cert/,http://www.flo-cert.net/flo-cert/,3rd Party,ISO,FLO
Fairtrade USA,1998.0,http://www.fairtradeusa.org/,http://www.fairtradeusa.org/,3rd Party,ISO,FLO
Commercio Justo,n/a,http://comerciojusto.org/,http://comerciojusto.org/,3rd Party,ISO,FLO
RAN (Rainforest Alliance),1987.0,http://www.rainforest-alliance.org/,http://www.rainforest-alliance.org/,Internal,n/a,RAN (Rainforest Alliance)
Control Union,n/a,http://certifications.controlunion.com/,http://certifications.controlunion.com/,3rd Party,ISO,UTZ Good Inside
SCS Global Service,1984.0,http://www.scsglobalservices.com/,http://www.scsglobalservices.com/,3rd Party,ISO,UTZ Good Inside
Bio Suisse,,http://www.bio-suisse.ch/en/home.php,http://www.bio-suisse.ch/en/home.php,3rd Party,ISO,Fair for Life
SCS Global Service,1984.0,http://www.scsglobalservices.com/,http://www.scsglobalservices.com/,3rd Party,n/a,Starbuck & Conservation International
Control Union,n/a,http://certifications.controlunion.com/,http://certifications.controlunion.com/,3rd Party,n/a,Starbuck & Conservation International
no certification body,n/a,n/a,n/a,n/a,n/a,"Dave and Nic "
no certification body,n/a,n/a,n/a,n/a,n/a,Non Violent Dove Certification
