Class,Product,Attribute Value,Product Code
Coffee/Tea/Substitutes,"Coffee, Coffee Substitutes – Instant",,770100.0
"Coffee Green ","Coffee Green ",Arabica,770302.0
"Coffee Green ","Coffee Green ",Washed,770302.0
"Coffee Green ","Coffee Green ",Chiapas,770302.0
"Coffee Green ","Coffee Green ",conventional,770302.0
"Coffee Green ",Coffee Green,Arabica,770201.0
"Coffee Green ",Coffee Green,Natural,770201.0
"Coffee Green ",Coffee Green,Chiapas,770201.0
"Coffee Green ",Coffee Green,Organic,770201.0
"Coffee Green ",Coffee Green,Robusta,770301.0
"Coffee Green ",Coffee Green,Washed,770301.0
"Coffee Green ",Coffee Green,Puebla,770301.0
"Coffee Green ",Coffee Green,conventional,770301.0
"Coffee Green ",Coffee Green,Robusta,770202.0
"Coffee Green ",Coffee Green,Natural,770202.0
"Coffee Green ",Coffee Green,Puebla,770202.0
"Coffee Green ",Coffee Green,Organic,770202.0
Coffee/Tea/Substitutes,Tea Instant,Organic,653286.0
